Source,UPM,XOPQ,XOPQ ‰,XOUC,XOUC ‰,XOLC,XOLC ‰,XOFI,XOFI ‰,XTRA,XTRA ‰,XTUC,XTUC ‰,XTLC,XTLC ‰,XTFI,XTFI ‰,XTAB,XTAB ‰,GRAD,GRAD ‰,XTSB,XTSB ‰,XUCS,XUCS ‰,XUCR,XUCR ‰,XLCS,XLCS ‰,XLCR,XLCR ‰,XFIR,XFIR ‰,YOPQ,YOPQ ‰,YOUC,YOUC ‰,YOLC,YOLC ‰,YOFI,YOFI ‰,YTAS,YTAS ‰,YTDE,YTDE ‰,YTOS,YTOS ‰,YTUO,YTUO ‰,YTLO,YTLO ‰,YTDO,YTDO ‰,YTAO,YTAO ‰,YTFO,YTFO ‰,YTRA,YTRA ‰,YTUC,YTUC ‰,YTLC,YTLC ‰,YTFI,YTFI ‰,PWGT,PWGT ‰,PWDT,PWDT ‰,POPS,POPS ‰,UDLN,UDLN ‰
RobotoExtremo-opsz18wghtminwdthmin.ufo,2048,72,35,72,35,0,0,,,635,310,635,310,492,241,615,301,1017,497,635,310,,,170,83,116,57,147,72,86,42,165,81,70,35,70,35,0,0,0,0,1534,749,-416,-203,-29,-14,-29,-14,-29,-14,-436,-212,1554,759,-29,-14,1950,952,1456,711,1048,512,1456,711,635,310,635,310,,,36,18
RobotoExtremo-opsz24wghtminwdthmin.ufo,2048,56,27,56,27,0,0,,,629,307,629,307,482,236,619,303,985,481,629,307,,,168,82,117,57,144,71,88,43,154,76,54,27,54,27,0,0,0,0,1530,747,-416,-203,-28,-13,-28,-13,-28,-13,-436,-212,1550,757,-28,-13,1946,951,1456,711,1042,509,1456,711,629,307,629,307,,,22,11
RobotoExtremo-opsz36wght100wdthmin.ufo,2048,38,19,38,19,0,0,,,597,292,597,292,454,222,609,298,922,451,597,292,,,161,79,113,56,136,67,87,43,137,67,36,18,36,18,0,0,0,0,1523,744,-416,-203,-26,-12,-26,-12,-25,-12,-436,-213,1543,754,-26,-12,1939,947,1456,711,1029,503,1456,711,597,292,597,292,,,-5,-2
RobotoExtremo-opsz36wght600wdthmin.ufo,2048,317,155,317,155,0,0,,,319,156,319,156,508,248,469,229,922,451,319,156,,,111,54,75,37,92,45,54,27,69,34,271,133,271,133,0,0,0,0,1501,733,-414,-202,-24,-12,-24,-12,-26,-12,-435,-212,1521,743,-24,-11,1915,935,1456,711,992,485,1456,711,319,156,319,156,,,-44,-21
RobotoExtremo-opsz18wght700wdthmin.ufo,2048,360,176,360,176,0,0,,,317,155,317,155,542,265,513,251,1017,497,317,155,,,120,59,80,39,98,48,57,28,72,36,294,144,294,144,0,0,0,0,1506,735,-415,-202,-26,-12,-26,-12,-28,-13,-437,-213,1526,746,-26,-12,1921,938,1456,711,1005,491,1456,711,317,155,317,155,,,8,4
RobotoExtremo-opsz24wght700wdthmin.ufo,2048,375,183,375,183,0,0,,,278,136,278,136,534,261,477,233,985,481,278,136,,,108,53,72,36,88,43,51,25,67,33,312,152,312,152,0,0,0,0,1499,732,-414,-202,-25,-12,-25,-12,-27,-13,-437,-213,1520,742,-25,-12,1914,935,1456,711,992,485,1456,711,278,136,278,136,,,5,3
RobotoExtremo-opsz24wght100.ufo,2048,63,31,63,31,0,0,,,812,397,812,397,635,310,778,380,1136,555,812,397,,,175,86,120,59,150,73,89,44,147,72,59,29,59,29,0,0,0,0,1530,747,-418,-204,-29,-14,-29,-14,-29,-14,-436,-212,1550,757,-29,-14,1948,952,1456,711,1041,509,1456,711,812,397,812,397,,,-109,-53
RobotoExtremo-opsz36wght100.ufo,2048,45,22,45,22,0,0,,,833,407,833,407,646,315,790,386,1113,544,833,407,,,177,87,122,60,149,73,90,44,139,68,42,21,42,21,0,0,0,0,1523,744,-420,-205,-28,-13,-28,-13,-28,-13,-436,-212,1543,754,-28,-13,1943,949,1456,711,1029,503,1456,711,833,407,833,407,,,-120,-58
RobotoExtremo-opsz18wght700.ufo,2048,370,181,370,181,0,0,,,461,226,461,226,665,325,644,315,1148,561,461,226,,,121,59,81,40,99,49,57,28,67,33,298,146,298,146,0,0,0,0,1506,735,-416,-203,-26,-12,-26,-12,-28,-14,-437,-213,1526,746,-26,-12,1922,939,1456,711,1005,491,1456,711,461,226,461,226,,,-131,-64
RobotoExtremo-opsz24wght700.ufo,2048,388,190,388,190,0,0,,,428,209,428,209,662,324,616,301,1136,555,428,209,,,112,55,75,37,91,44,52,25,67,33,315,154,315,154,0,0,0,0,1499,732,-416,-203,-25,-12,-25,-12,-28,-13,-437,-213,1520,742,-25,-12,1916,936,1456,711,992,485,1456,711,428,209,428,209,,,-126,-61
